Namee,Email  ,Contact,City,Referencee,Handled_By,Leadd,Converted,To_Be_Converted
arpit mhatre,jgsonlee890@gotmgil.com,8749382183,Sawantwadi,FB,Pooja Melwani,Hot lead,YES,Coverted
pritesh koli,gmeligwilson678@yggoo.com,8749382223,Madhya Pradesh,FB,Manisha Parte,End Lead,NO,NO
bhuvnesh rane,etggnmgrtinez123@gmgil.com,8749383344,Sawantwadi,FB,Anchal Mishra,Active lead,NO,NO
shubham patil,emmgwglker456@gotmgil.com,8749385532,Kolkata,FB,Nilesh Shinde,End Lead,NO,NO
rushi mhatre,dgvidtgylor789@yggoo.com,8749772219,Hydrabad,Investment Leads,Deepali Yadav,End Lead,NO,NO
saunak,cgloeggrris321@gmgil.com,8749382213,Lucknow,Investment Leads,Ritik Yadav,End Lead,NO,NO
tanish patil,noggtgompson567@gotmgil.com,8749300244,Navi Mumbai,Investment Leads,Abhijeet Bramhane,Hot lead,YES,Coverted
sayyed,mgdisonclgrk789@yggoo.com,8747777224,Madhya Pradesh,Investment Leads,Akash Sharma,Active lead,NO,NO
rishi naik,jgmesrodriguez234@gmgil.com,8749382393,Hydrabad,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
jaggi,gvgsmitg456@gotmgil.com,8749315242,Navi Mumbai,Insta,Sushant Nikam,Hot lead,YES,Coverted
bhiopi kalpesh,genjgmincgrter789@yggoo.com,9873431729,Tamilnadu,Investment Leads,Azimuddin Mohd,End Lead,NO,NO
akash bhoir,sopgiepgrker123@gmgil.com,9749002279,Kashmir,Investment Leads,Tamanna Sahu,End Lead,NO,NO
chanchala,loggngill456@gotmgil.com,8749372222,Navi Mumbai,whatsapp,Ronak Jadhav,Active lead,NO,NO
piyush bandre,isggellgmorris789@yggoo.com,8748582242,Navi Mumbai,whatsapp,Deepali Kasatwar,Active lead,NO,NO
shubham bhoir,lucgsrogers234@gmgil.com,8749382187,Navi Mumbai,whatsapp,Roshan Patil,Hot lead,NO,YES
chhaya bahndre,ggiggilwood456@gotmgil.com,8749380222,Vadodara,Google Ad,Ronak Jadhav,End Lead,NO,NO
smit patil,dgnielgugges789@yggoo.com,8749382282,Srinagar,Google Ad,Deepali Kasatwar,End Lead,NO,NO
gaurav malve,sopgiglopez123@gmgil.com,8749382249,Hyderabad,Google Ad,Roshan Patil,End Lead,NO,NO
rvind,jgcksonroginson456@gotmgil.com,8749382124,nipani,Google Ad,Kiran Dhakal,Active lead,NO,NO
vaibhav patil,emilyjgmes789@yggoo.com,8749382922,Sheopur,Google Ad,Pooja Melwani,End Lead,NO,NO
vivek tawre,gidenmiller234@gmgil.com,8749351279,Gorakhpur,Google Ad,Manisha Parte,End Lead,NO,NO
dilip sutar,migjognston456@gotmgil.com,8749382293,Orai,Google Ad,Anchal Mishra,Active lead,NO,NO
yadhav om,etggnmurpgy789@yggoo.com,8749344449,VIJAYAWADA,Google Ad,Nilesh Shinde,End Lead,NO,NO
sagar mhatre,olivigmorggn123@gmgil.com,8749304219,Nagpur,FB,Deepali Yadav,Hot lead,NO,NO
Stella Morgan,sgmuelstewgrt456@gotmgil.com,8749992219,Bharatpur,FB,Ritik Yadav,Hot lead,NO,NO
John Morris,elizggetgkelly789@yggoo.com,8749382239,Chennai,FB,Abhijeet Bramhane,Active lead,NO,NO
Aurora Murphy,micggelcox234@gmgil.com,8749382329,Bhadrak,FB,Akash Sharma,Active lead,NO,NO
Christian Nelson,cggrlottegreen456@gotmgil.com,8749355529,Dubai,FB,Suryakant Choudhary,End Lead,NO,NO
Hannah Parker,willigmprice789@yggoo.com,8749382312,Patna,Insta,Sushant Nikam,Hot lead,YES,Coverted
David Perez,ggnnggwgrd123@gmgil.com,8749382214,Madhya Pradesh,FB,Azimuddin Mohd,Active lead,NO,NO
Maya Phillips,jgcogriverg456@gotmgil.com,8222242222,Ramnagar,FB,Tamanna Sahu,End Lead,NO,NO
Jack Powell,sopgigsgncgez789@yggoo.com,8749382889,Aurangabad,FB,Rohit Sonar,Hot lead,YES,Coverted
Addison Reed,gndrewross234@gmgil.com,8749382192,aizawl,FB,Ronak Jadhav,Hot lead,NO,NO
Ryan Rivera,gverygerngndez456@gotmgil.com,8749381222,Shrigonda,Insta,Deepali Kasatwar,End Lead,NO,NO
Avery Roberts,emmgwgtson789@yggoo.com,8749385594,Parbhani,Insta,Roshan Patil,Active lead,NO,NO
Joseph Robinson,dgnielmgrtin123@gmgil.com,8749382122,Srinagar,Insta,Kiran Dhakal,End Lead,NO,NO
Madison Rogers,miggdgms456@gotmgil.com,8749937219,mumbai,Insta,Pooja Melwani,Active lead,NO,NO
Samuel Ross,genjgminclgrk789@yggoo.com,8749381144,Lakhimpur,Insta,Manisha Parte,Active lead,NO,NO
Sofia Russell,oliviglong234@gmgil.com,8749382174,Rewari,Insta,Anchal Mishra,End Lead,NO,NO
Joseph Sanchez,etggnjgmes456@gotmgil.com,8749307242,Kota,Insta,Nilesh Shinde,Hot lead,NO,NO
Emilia Scott,isggellgwgite789@yggoo.com,8749382391,Nagpur,Investment Leads,Deepali Yadav,Hot lead,NO,NO
William Simmons,loggnjones234@gmgil.com,8749382822,Kolkata,Investment Leads,Ritik Yadav,End Lead,NO,NO
Lillian Stewart,cgloewglker456@gotmgil.com,8749382127,Surat,Investment Leads,Abhijeet Bramhane,Hot lead,NO,NO
Owen Taylor,jgcksontgomgs789@yggoo.com,8749382292,Nagpur,Investment Leads,Akash Sharma,End Lead,NO,NO
Victoria Thomas,ggiggillewis123@gmgil.com,9349382299,Palghar,Investment Leads,Suryakant Choudhary,Hot lead,NO,NO
Caleb Thompson,willigmsgncgez456@gotmgil.com,8749382197,lucknow,Investment Leads,Sushant Nikam,End Lead,NO,NO
Julia Torres,sopgiemorris789@yggoo.com,8749387732,Madhya Pradesh,Investment Leads,Azimuddin Mohd,End Lead,NO,NO
Matthew Turner,lucgswriggt234@gmgil.com,8749377779,Navi Mumbai,whatsapp,Tamanna Sahu,Active lead,NO,NO
Camila Ward,emilycooper456@gotmgil.com,9974932222,Solapur,whatsapp,Rohit Sonar,Active lead,NO,NO
Daniel White,nogggill789@yggoo.com,8749387799,Nagpur,whatsapp,Manisha Parte,End Lead,NO,NO
Brooklyn Williams,mgdisonrodriguez123@gmgil.com,9749383398,Kerla,Calling,Anchal Mishra,End Lead,NO,NO
Gabriel Wilson,jgcogrogers456@gotmgil.com,9749374242,Mumbai,Calling,Nilesh Shinde,Active lead,NO,NO
Grace Wood,ggnngggerngndez789@yggoo.com,9749382322,Mumbai,Calling,Deepali Yadav,Active lead,NO,NO
Andrew Wright,olivermorggn234@gmgil.com,9749382229,Salem,Google Ad,Ronak Jadhav,End Lead,NO,NO
Harper Young,gvggllen456@gotmgil.com,9745502232,Rourkera,Google Ad,Deepali Kasatwar,Active lead,NO,NO
Nicholas Allen,sgmuelwood789@yggoo.com,9749382214,Hardoi,Google Ad,Roshan Patil,End Lead,NO,NO
Eleanor Anderson,gveryjgmes123@gmgil.com,9749382399,chapra,Google Ad,Kiran Dhakal,End Lead,NO,NO
Charles Bailey,elizggetgcox456@gotmgil.com,9749382552,Rayagada,Google Ad,Pooja Melwani,End Lead,NO,NO
Hazel Baker,dgnieljognson789@yggoo.com,7974002212,Sivasagar,Google Ad,Manisha Parte,End Lead,NO,NO
Christopher Barnes,sopgigprice234@gmgil.com,9749381123,PUNE,Google Ad,Anchal Mishra,Hot lead,NO,NO
Emily Bennett,willigmgdgms456@gotmgil.com,9749382227,Indore,Google Ad,Nilesh Shinde,Active lead,NO,NO
Samuel Brooks,miglee789@yggoo.com,9749386712,Lucknow,whatsapp,Deepali Yadav,Active lead,NO,NO
Penelope Brown,etggnmiller234@gmgil.com,9749382224,Mangoav,whatsapp,Ritik Yadav,End Lead,NO,NO
Logan Butler,olivigggrcig456@gotmgil.com,9749892212,Madhya Pradesh,whatsapp,Abhijeet Bramhane,End Lead,NO,NO
Scarlett Campbell,jgcksonwilson789@yggoo.com,9989382212,Navi Mumbai,whatsapp,Akash Sharma,Active lead,NO,NO
Zachary Carter,emilytgompson123@gmgil.com,9749381142,Navi Mumbai,whatsapp,Suryakant Choudhary,End Lead,NO,NO
Hannah Clark,loggnclgrk456@gotmgil.com,9749382223,Kolkatta,Google Ad,Sushant Nikam,Hot lead,NO,YES
William Collins,gverygerngndez456@gotmgil.com,9749382241,Solapur,Google Ad,Azimuddin Mohd,End Lead,NO,NO
Victoria Cook,emmgwgtson789@yggoo.com,9749344932,Surat,Google Ad,Tamanna Sahu,Hot lead,NO,NO
Daniel Cox,dgnielmgrtin123@gmgil.com,9749382278,Kashmir,Google Ad,Rohit Sonar,End Lead,NO,NO
Elizabeth Davis,miggdgms456@gotmgil.com,9749382424,Bhind Madhya Pradesh,FB,Ronak Jadhav,Active lead,NO,NO
James Diaz,genjgminclgrk789@yggoo.com,9749384562,Bahraich,FB,Deepali Kasatwar,End Lead,NO,NO
Mia Edwards,oliviglong234@gmgil.com,7494442398,Hyderabad,FB,Roshan Patil,End Lead,NO,NO
Oliver Evans,etggnjgmes456@gotmgil.com,9749382248,Ranchi,FB,Kiran Dhakal,Hot lead,NO,NO
Ava Foster,isggellgwgite789@yggoo.com,9749381112,Indore,FB,Pooja Melwani,Hot lead,YES,Coverted
Benjamin Garcia,loggnjones234@gmgil.com,9749382249,Pune,FB,Manisha Parte,Hot lead,NO,NO
Charlotte Gray,cgloewglker456@gotmgil.com,9749382171,Pune,FB,Anchal Mishra,Hot lead,YES,Coverted
Elijah Griffin,jgcksontgomgs789@yggoo.com,9749382189,Belgaum,Insta,Nilesh Shinde,End Lead,NO,NO
Grace Hall,ggiggillewis123@gmgil.com,9700382249,Imphal,Insta,Deepali Yadav,End Lead,NO,NO
Henry Harris,willigmsgncgez456@gotmgil.com,9748772239,Chandannagar,Insta,Ritik Yadav,Active lead,NO,NO
Abigail Hill,sopgiemorris789@yggoo.com,9748652182,Ranebennur,Insta,Abhijeet Bramhane,End Lead,NO,NO
Joseph Hughes,lucgswriggt234@gmgil.com,9748388827,Raiganj,Insta,Akash Sharma,Active lead,NO,NO
Ella Jackson,emilycooper456@gotmgil.com,9748366673,Phulbani,Insta,Suryakant Choudhary,Active lead,NO,NO
Ethan Jenkins,nogggill789@yggoo.com,9748382212,Navi Mumbai,Insta,Sushant Nikam,Hot lead,YES,Coverted
Lily Johnson,mgdisonrodriguez123@gmgil.com,9748344249,Mumbai,Insta,Azimuddin Mohd,Active lead,NO,NO
Alexander Jones,jgcogrogers456@gotmgil.com,9748386682,Surat,PZ VIP,Tamanna Sahu,End Lead,NO,NO
Harper Kelly,ggnngggerngndez789@yggoo.com,9444382172,Hydrabad,Investment Leads,Rohit Sonar,End Lead,NO,NO
Samuel King,olivermorggn234@gmgil.com,9748882239,Madhya Pradesh,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Aurora Lee,gvggllen456@gotmgil.com,9748382282,mumbai,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Michael Lewis,sgmuelwood789@yggoo.com,9748382123,Surat,Investment Leads,Roshan Patil,End Lead,NO,NO
Audrey Long,gveryjgmes123@gmgil.com,9748382224,Nagpur,Investment Leads,Kiran Dhakal,End Lead,NO,NO
Noah Martin,elizggetgcox456@gotmgil.com,9748382191,Solapur,Investment Leads,Pooja Melwani,Hot lead,NO,NO
Maya Martinez,dgnieljognson789@yggoo.com,9748382223,kolkatta,Investment Leads,Manisha Parte,Active lead,NO,NO
David Miller,sopgigprice234@gmgil.com,9748382237,Kashmir,Investment Leads,Anchal Mishra,End Lead,NO,NO
Chloe Mitchell,willigmgdgms456@gotmgil.com,9748377772,Nagpur,Investment Leads,Nilesh Shinde,End Lead,NO,NO
Oliver Moore,miglee789@yggoo.com,9748382192,Raniganj,PZ VIP,Deepali Yadav,End Lead,NO,NO
Emma Murphy,etggnmiller234@gmgil.com,9748382129,Kanpur Nagar,PZ VIP,Ritik Yadav,End Lead,NO,NO
William Nelson,olivigggrcig456@gotmgil.com,9748382189,Belonia,Google Ad,Abhijeet Bramhane,End Lead,NO,NO
Sofia Olson,jgcksonwilson789@yggoo.com,9748382242,Asansol,Google Ad,Akash Sharma,End Lead,NO,NO
James Patel,emilytgompson123@gmgil.com,9748382173,Bachhraon,Google Ad,Suryakant Choudhary,Active lead,NO,NO
Scarlett Perez,loggnclgrk456@gotmgil.com,9748999927,Bhadrak,Google Ad,Sushant Nikam,End Lead,NO,NO
Liam Phillips,jogndoe123@gmgil.com,9748382193,Bemetara,Google Ad,Azimuddin Mohd,Active lead,NO,NO
Aria Powell,sgrggsmitg456@gotmgil.com,9748382243,Mathura,Google Ad,Tamanna Sahu,Active lead,NO,NO
Daniel Reed,mike.jones789@yggoo.com,9748384569,Dharapuram,Google Ad,Rohit Sonar,End Lead,NO,NO
Amelia Roberts,emilywilson321@gmgil.com,9748999473,Indore,Google Ad,Ronak Jadhav,Active lead,NO,NO
Christopher Robinson,glexgrown987@gotmgil.com,7748543229,mumbai,Calling,Deepali Kasatwar,Active lead,NO,NO
Ava Rodriguez,jenniferdgvis654@yggoo.com,7748382393,Agra,Calling,Roshan Patil,End Lead,NO,NO
Gabriel Ross,mgttgewtgomgs876@gmgil.com,7748382319,Agra,Calling,Kiran Dhakal,Hot lead,YES,Coverted
Mia Russell,olivigjognson234@gotmgil.com,7748382232,Pune,FB,Pooja Melwani,Hot lead,YES,Coverted
Alexander Sanchez,willigmjgckson567@yggoo.com,7748382124,cuttack,FB,Manisha Parte,End Lead,NO,NO
Emily Scott,sopgigrogerts345@gmgil.com,7748777242,Lucknow,FB,Anchal Mishra,Active lead,NO,NO
William Simmons,jgsonlee890@gotmgil.com,7748382132,Chennai,FB,Nilesh Shinde,Active lead,NO,NO
Madison Smith,gmeligwilson678@yggoo.com,7748382222,ALIPURDUAR,FB,Deepali Yadav,Active lead,NO,NO
Ethan Stewart,etggnmgrtinez123@gmgil.com,7748382291,Dharwad,FB,Ritik Yadav,End Lead,NO,NO
Victoria Taylor,emmgwglker456@gotmgil.com,7748382273,Kolkata,FB,Abhijeet Bramhane,End Lead,NO,NO
Benjamin Thomas,dgvidtgylor789@yggoo.com,7748382238,jahazpur,FB,Akash Sharma,Active lead,NO,NO
Elizabeth Thompson,cgloeggrris321@gmgil.com,7748382297,Amritsar,FB,Suryakant Choudhary,End Lead,NO,NO
Elijah Turner,noggtgompson567@gotmgil.com,7748382219,Puri,Insta,Sushant Nikam,End Lead,NO,NO
Layla Turner,mgdisonclgrk789@yggoo.com,7748365422,Chennai,Insta,Azimuddin Mohd,End Lead,NO,NO
Jacob Walker,jgmesrodriguez234@gmgil.com,7748382197,Muzaffarpur,Insta,Tamanna Sahu,Active lead,NO,NO
Harper Ward,gvgsmitg456@gotmgil.com,7748386669,Kanker,Insta,Rohit Sonar,End Lead,NO,NO
Samuel White,genjgmincgrter789@yggoo.com,7748382223,English Bazar,Insta,Ronak Jadhav,Active lead,NO,NO
Penelope Williams,sopgiepgrker123@gmgil.com,7748385429,palakkad,Insta,Deepali Kasatwar,End Lead,NO,NO
Owen,loggngill456@gotmgil.com,7748382722,Pune,Insta,Roshan Patil,Hot lead,NO,YES
Liam Anderson,isggellgmorris789@yggoo.com,7748382342,Kachrapara,Insta,Kiran Dhakal,Active lead,NO,NO
Olivia Baker,lucgsrogers234@gmgil.com,9648382189,Surat,Google Ad,Pooja Melwani,Hot lead,NO,NO
Ethan Campbell,ggiggilwood456@gotmgil.com,7748382228,Navi Mumbai,Google Ad,Manisha Parte,Active lead,NO,NO
Sophia Davis,dgnielgugges789@yggoo.com,7748382287,Solapur,Google Ad,Anchal Mishra,Hot lead,NO,NO
Benjamin Edwards,sopgiglopez123@gmgil.com,7748382182,Hydrabad,Google Ad,Nilesh Shinde,End Lead,NO,NO
Ava Foster,jgcksonroginson456@gotmgil.com,7748382224,Hydrabad,Investment Leads,Deepali Yadav,End Lead,NO,NO
Noah Garcia,emilyjgmes789@yggoo.com,7248382238,nagpur,Investment Leads,Ritik Yadav,Hot lead,NO,NO
Mia Hernandez,gidenmiller234@gmgil.com,7248383452,Mumbai,Investment Leads,Abhijeet Bramhane,Hot lead,NO,YES
William Jackson,migjognston456@gotmgil.com,7248882212,Mumbai,Investment Leads,Akash Sharma,Active lead,NO,NO
Isabella King,etggnmurpgy789@yggoo.com,7248382399,nashik,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
James Lee,olivigmorggn123@gmgil.com,7248382122,hydrabad,Investment Leads,Sushant Nikam,End Lead,NO,NO
Charlotte Martin,sgmuelstewgrt456@gotmgil.com,7248356822,Hydrabad,Investment Leads,Azimuddin Mohd,End Lead,NO,NO
Oliver Nelson,elizggetgkelly789@yggoo.com,7248382249,hydrabad,Investment Leads,Tamanna Sahu,Active lead,NO,NO
Amelia Olson,micggelcox234@gmgil.com,7248672284,solapur,Investment Leads,Rohit Sonar,Hot lead,NO,NO
Henry Patel,cggrlottegreen456@gotmgil.com,7248342119,New Delhi,Insta,Ronak Jadhav,Active lead,NO,NO
Harper Quinn,willigmprice789@yggoo.com,7248382217,Chennai,Insta,Deepali Kasatwar,Active lead,NO,NO
Samuel Ramirez,ggnnggwgrd123@gmgil.com,7248382172,Kurukshetra,Insta,Roshan Patil,End Lead,NO,NO
Abigail Smith,jgcogriverg456@gotmgil.com,7248382293,Tiruchirappalli,Insta,Kiran Dhakal,End Lead,NO,NO
Alexander Taylor,sopgigsgncgez789@yggoo.com,7248380002,Haldia,Insta,Pooja Melwani,End Lead,NO,NO
Emily Turner,gndrewross234@gmgil.com,7256782219,Parli Vaijnath,Insta,Manisha Parte,End Lead,NO,NO
Daniel Walker,gverygerngndez456@gotmgil.com,7248382242,Gandhinagar,Insta,Anchal Mishra,End Lead,NO,NO
Elizabeth Young,emmgwgtson789@yggoo.com,7248382312,Nashik,Insta,Nilesh Shinde,End Lead,NO,NO
Michael Adams,dgnielmgrtin123@gmgil.com,7651361366,Navi Mumbai,whatsapp,Deepali Yadav,Hot lead,NO,YES
Grace Bennett,miggdgms456@gotmgil.com,7248383454,Navi Mumbai,whatsapp,Ritik Yadav,Active lead,NO,NO
Matthew Carter,genjgminclgrk789@yggoo.com,7248390273,Mumbai,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
Chloe Clark,oliviglong234@gmgil.com,7248382213,Tamilnadu,Calling,Akash Sharma,End Lead,NO,NO
David Collins,etggnjgmes456@gotmgil.com,7248388824,Nagpur,Calling,Suryakant Choudhary,Hot lead,YES,Coverted
Ella Cook,isggellgwgite789@yggoo.com,7248386666,MIRZAPUR (UP),PZ VIP,Sushant Nikam,End Lead,NO,NO
Joseph Cooper,loggnjones234@gmgil.com,7245552212,PRODDATUR,PZ VIP,Azimuddin Mohd,End Lead,NO,NO
Victoria Cox,cgloewglker456@gotmgil.com,7248382392,Kolkatta,Investment Leads,Tamanna Sahu,End Lead,NO,NO
Samuel Cruz,jgcksontgomgs789@yggoo.com,7248382182,Mumbai,Investment Leads,Rohit Sonar,Hot lead,NO,YES
Evelyn Diaz,ggiggillewis123@gmgil.com,7248382129,Mumbai,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Alexander Evans,willigmsgncgez456@gotmgil.com,7248382644,Nagpur,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Natalie Flores,sopgiemorris789@yggoo.com,7278382322,nashik,Investment Leads,Roshan Patil,End Lead,NO,NO
Christopher Gonzalez,lucgswriggt234@gmgil.com,7248382298,Solapur,Investment Leads,Kiran Dhakal,Active lead,NO,NO
Penelope Gray,emilycooper456@gotmgil.com,7248288929,Kerla,Investment Leads,Pooja Melwani,End Lead,NO,NO
Jonathan Griffin,nogggill789@yggoo.com,7248282124,Bangalore,FB,Manisha Parte,End Lead,NO,NO
Scarlett Hall,mgdisonrodriguez123@gmgil.com,7245552279,Murshidabad,FB,Anchal Mishra,End Lead,NO,NO
Gabriel Hill,jgcogrogers456@gotmgil.com,7248282182,Basar,FB,Nilesh Shinde,End Lead,NO,NO
Zoey Hughes,ggnngggerngndez789@yggoo.com,7248277728,Bari Sadri,FB,Deepali Yadav,End Lead,NO,NO
Isaac Jenkins,olivermorggn234@gmgil.com,7248286548,Sathyamangalam,FB,Ritik Yadav,End Lead,NO,NO
Lily Johnson,gvggllen456@gotmgil.com,7248282122,Patiala,FB,Abhijeet Bramhane,End Lead,NO,NO
Joshua Kelly,sgmuelwood789@yggoo.com,7266662279,Purnea and Madhepura,FB,Akash Sharma,End Lead,NO,NO
Audrey King,gveryjgmes123@gmgil.com,7248282323,Gurugram,FB,Suryakant Choudhary,End Lead,NO,NO
Andrew Lewis,elizggetgcox456@gotmgil.com,7248211242,Dewas,FB,Sushant Nikam,End Lead,NO,NO
Layla Long,dgnieljognson789@yggoo.com,7248282293,Aizawl,Google Ad,Azimuddin Mohd,End Lead,NO,NO
Daniel Martinez,sopgigprice234@gmgil.com,7248285528,Kolkata,Google Ad,Tamanna Sahu,Active lead,NO,NO
Aria Mitchell,willigmgdgms456@gotmgil.com,7248233319,Biswanath Chariali,Google Ad,Rohit Sonar,End Lead,NO,NO
Anthony Moore,miglee789@yggoo.com,7248204242,Akaltara,Google Ad,Anchal Mishra,Active lead,NO,NO
Aarav Sharma,etggnmiller234@gmgil.com,7248282292,Firozabad,Google Ad,Nilesh Shinde,End Lead,NO,NO
Riya Patel,olivigggrcig456@gotmgil.com,7248282173,Pilibhit,Google Ad,Deepali Yadav,Active lead,NO,NO
Advait Singh,jgcksonwilson789@yggoo.com,7248282283,Hooghly,Google Ad,Ritik Yadav,Active lead,NO,NO
Ishita Verma,emilytgompson123@gmgil.com,7248282999,Ambala Cantt,Google Ad,Abhijeet Bramhane,Active lead,NO,NO
Arjun Gupta,loggnclgrk456@gotmgil.com,7248282239,Nagpur,Google Ad,Akash Sharma,End Lead,NO,NO
Saanvi Joshi,jogndoe123@gmgil.com,7248255529,Mysore,FB,Senthil Nadar,Active lead,NO,NO
Aryan Kumar,sgrggsmitg456@gotmgil.com,7248282282,Lucknow,FB,Ronak Jadhav,Active lead,NO,NO
Aanya Shah,mike.jones789@yggoo.com,7248282188,muvatupuzha,FB,Deepali Kasatwar,End Lead,NO,NO
Reyansh Patel,emilywilson321@gmgil.com,7248282394,Visakhapatnam,FB,Roshan Patil,End Lead,NO,NO
Zara Kapoor,glexgrown987@gotmgil.com,8248286528,Akola,FB,Kiran Dhakal,End Lead,NO,NO
Atharv Singhania,jenniferdgvis654@yggoo.com,8248282221,Coimbatore,FB,Pooja Melwani,End Lead,NO,NO
Myra Reddy,mgttgewtgomgs876@gmgil.com,8240282229,Nashik,FB,Manisha Parte,End Lead,NO,NO
Vivaan Patel,olivigjognson234@gotmgil.com,8248282288,Jagtial,Google Ad,Anchal Mishra,End Lead,NO,NO
Anaya Iyer,willigmjgckson567@yggoo.com,8248288229,Andhrapradesh,Google Ad,Nilesh Shinde,Active lead,NO,NO
Vihaan Choudhury,sopgigrogerts345@gmgil.com,8248282194,Imphal,Google Ad,Deepali Yadav,End Lead,NO,NO
Aadhya Sengupta,jgsonlee890@gotmgil.com,8248283338,Kashipur,Google Ad,Ritik Yadav,Active lead,NO,NO
Shaurya Mishra,gmeligwilson678@yggoo.com,8245552272,Mysore,Google Ad,Abhijeet Bramhane,Active lead,NO,NO
Diya Desai,etggnmgrtinez123@gmgil.com,8299282242,Lucknow,Investment Leads,Akash Sharma,End Lead,NO,NO
Krish Saxena,emmgwglker456@gotmgil.com,8321282219,Tamilnadu,Investment Leads,Suryakant Choudhary,Active lead,NO,NO
Navya Agarwal,dgvidtgylor789@yggoo.com,8248282529,Madhya Pradesh,Investment Leads,Sushant Nikam,End Lead,NO,NO
Ishaan Srinivasan,cgloeggrris321@gmgil.com,8248282279,mumbai,Investment Leads,Azimuddin Mohd,Active lead,NO,NO
Anika Khanna,noggtgompson567@gotmgil.com,8248282349,Kerla,Investment Leads,Tamanna Sahu,End Lead,NO,NO
Vihaan Dave,mgdisonclgrk789@yggoo.com,8248282223,Lucknow,Investment Leads,Rohit Sonar,End Lead,NO,NO
Aanya Menon,jgmesrodriguez234@gmgil.com,8248554197,Lucknow,whatsapp,Ronak Jadhav,End Lead,NO,NO
Dhruv Sharma,gvgsmitg456@gotmgil.com,8248287649,Aurangabad,whatsapp,Deepali Kasatwar,Hot lead,NO,YES
Avani Gupta,genjgmincgrter789@yggoo.com,8248209849,Rajeshthan,whatsapp,Roshan Patil,Active lead,NO,NO
Arnav Banerjee,sopgiepgrker123@gmgil.com,8248281229,Navi Mumbai,whatsapp,Kiran Dhakal,Active lead,NO,NO
Siya Rao,loggngill456@gotmgil.com,8248265499,lucknow,PZ VIP,Pooja Melwani,Active lead,NO,NO
Aarush Bhatia,isggellgmorris789@yggoo.com,8987282328,Avinashi 641654,PZ VIP,Manisha Parte,End Lead,NO,NO
Ishani Nair,lucgsrogers234@gmgil.com,8248285812,Aurangabad,Insta,Anchal Mishra,End Lead,NO,NO
Advaitan Das,ggiggilwood456@gotmgil.com,924820242,covai,Insta,Nilesh Shinde,End Lead,NO,NO
Ananya Iyer,dgnielgugges789@yggoo.com,8248217242,Gorakhpur,Insta,Deepali Yadav,End Lead,NO,NO
Pranav Mehra,sopgiglopez123@gmgil.com,8248282289,Kollam,Insta,Ritik Yadav,End Lead,NO,NO
Kiara Choudhary,jgcksonroginson456@gotmgil.com,8248282182,Chennai,Insta,Abhijeet Bramhane,End Lead,NO,NO
Vivaan Pillai,emilyjgmes789@yggoo.com,8248765497,coimbatore,Insta,Akash Sharma,End Lead,NO,NO
Anvi Venkatesh,gidenmiller234@gmgil.com,8248282311,ara,Insta,Suryakant Choudhary,End Lead,NO,NO
Aaryan Mathur,migjognston456@gotmgil.com,8248777328,Salem,Insta,Sushant Nikam,End Lead,NO,NO
Riyaan Nair,etggnmurpgy789@yggoo.com,8248283229,Tiruchirappalli,Insta,Azimuddin Mohd,End Lead,NO,NO
Nandini Krishnan,olivigmorggn123@gmgil.com,8248282218,Siliguri,Insta,Tamanna Sahu,End Lead,NO,NO
Samaira Singh,sgmuelstewgrt456@gotmgil.com,8248282241,Pune,Investment Leads,Ronak Jadhav,Hot lead,YES,Coverted
Shaurya Murthy,elizggetgkelly789@yggoo.com,8248243219,bijapur near,Google Ad,Deepali Kasatwar,End Lead,NO,NO
Riya Chatterjee,micggelcox234@gmgil.com,8248243272,Noida,Google Ad,Azimuddin Mohd,Active lead,NO,NO
Aditya Menon,cggrlottegreen456@gotmgil.com,8248282312,Kaithal,Google Ad,Roshan Patil,End Lead,NO,NO
Aaradhya Deshpande,willigmprice789@yggoo.com,8243670299,Shimla,Google Ad,Pooja Melwani,End Lead,NO,NO
Ishika Saxena,ggnnggwgrd123@gmgil.com,8248282237,Jaipur,Insta,Anchal Mishra,End Lead,NO,NO
Arjun Mehra,jgcogriverg456@gotmgil.com,8248282297,patna,Insta,Nilesh Shinde,End Lead,NO,NO
Anaya Iyengar,sopgigsgncgez789@yggoo.com,8248286642,Mandla,Insta,Ronak Jadhav,End Lead,NO,NO
Aryan Dubey,gndrewross234@gmgil.com,8246312338,Guntur,Insta,Deepali Kasatwar,End Lead,NO,NO
Myra Iyer,gverygerngndez456@gotmgil.com,8248286229,Rayagada,Insta,Abhijeet Bramhane,End Lead,NO,NO
Devansh Shah,emmgwgtson789@yggoo.com,8248292229,Jammu,Insta,Deepali Kasatwar,End Lead,NO,NO
Aishani Gupta,dgnielmgrtin123@gmgil.com,8248276338,Vrindaban,Insta,Sushant Nikam,End Lead,NO,NO
Reyansh Joshi,miggdgms456@gotmgil.com,8241234272,vellore,Insta,Tamanna Sahu,End Lead,NO,NO
Zara Rao,genjgminclgrk789@yggoo.com,8248282339,Srinagar,Insta,Roshan Patil,End Lead,NO,NO
